,collectionId,collectionName,totalNFTs
0,2331,Utopia Avatars,6628
6628,2300,Spooky Boys Country Club,13000
19628,2319,Meka Drivers,8888
28516,2321,HMN5,6936
35452,2320,Diesel x Hape: Antidote to the Status Quo,1024
36476,2318,AIKO BEANZ,10000
46476,2317,Rug Radio Faces of Web3 by Cory Van Lew,20000
66476,2315,Geishas & Gardens,4444
70920,2314,JACKED DEGENERATES,3768
74688,2311,Knights Who Say Nah - Warriors,720
75408,2306,The Bobo Council,2222
77630,2305,Always Tired,7777
85407,2257,HANGRY BARBOONS,4444
89851,2301,Ceci n'est pas un Botto,1112
90963,2290,Hasbulla,10000
100963,2281,Angry Apes Society,9999
110962,2275,DegenSkellies,5000
115962,2274,BitGoatz,9998
125960,2240,Mighty Hercules,400
126360,2264,NutsDAO Poker Players,10000
136360,2271,kozmonautslta,5555
141915,2253,Wilder Beasts: Wape,3000
144915,2263,Vandals Union,1509
146424,2256,DR/VRS,2888
149312,2255,Exceed Rookie Class,3333
152645,2252,Crypto Dog Society,7778
160423,2254,Bugatti Group Phygital Genesis,1940
162363,2251,Kitaro World Scenes,7888
170251,2250,Gemesis by Johnathan Schultz,2499
172750,2248,BETTER BUDDIES,2050
174800,2246,RFOX VALT OG CitiXens,1150
175950,2220,Like a Brush by Julien Durix,293
176243,2247,Ecotars 3D,1654
177897,2245,Martian Town,1121
179018,2244, Fable Dragons by Tyrant,750
179768,2243,The Greedy Machines vol. 2,2214
181982,2242,The Greedy Machines,1000
182982,2241,CW Females,6545
189527,2238,Revellers,2000
191527,2237,Digi Miners,7776
199303,2236,RedefinedBulls,1505
200808,2235,Supercute World,5555
206363,2234,CroSwap Quartermasters,4235
210598,2233,PlaxyParty,1000
211598,2225,YUME By Daniel Mazzone Collection,110
211708,2227,Metaplaces Offices,400
212108,2226,rugbugs.lol,564
212672,2207,Zombunnies,1220
213892,2219,Gakko Labs,5543
219435,2218,Polygon's Flaming Phenix Club,5620
225055,2217,Metaplaces Small Offices,4000
229055,2216,Turusu Forest,9989
239044,2214,Cangster,10000
249044,2210,Model Eros Village - Hime,3888
252932,2215,Mission NFT Series,7000
259932,2212,Angry Apes Country Club,4999
264931,2213,Turtle Island,8087
273018,2211,77-Bit,7776
280794,2205,Agents of ZAF,993
281787,2204,Sentinel Squadron,5000
286787,1722,Legends of Atlantis,2833
289620,2183,Legendary Safuu Club,2012
291632,2202,Gray Boys Mutants,1696
293328,2203,Lacoste UNDW3: The Emerge,11212
304540,2209,Dissected Frens,8037
312577,2208,Maestro - Genesis,1555
314132,2206,Cronos Mutant Apes,798
314930,2224,The Potatoz,9999
324929,2223,Castaways The Islands,500
325429,2222,DigiDaigaku Genesis,2022
327451,2221,Anthony Hopkins - The Eternal,1000
328451,2187,WhIsBe Vandalz,4120
332571,2201,Sewage Fruitz,2400
334971,2185,Ibutsu,3332
338303,2198,R Planet - Genesis,8889
347192,2199,Mithical PFP,555
347747,2193,ETERNALS XYZ,6665
354412,2194,Rotten Eggs,4000
358412,2192,Bored Candy,10000
368412,2191,Spooky SZN ,6666
375078,2165,Babykrakens,1111
376189,2190,Ghost Ape Yacht Club OG,1057
377246,2189,Lost Bear by FLUFF,3500
380746,2188,Meta Bounty Huntress,8888
389634,2182,Baby Gators,1999
391633,2175,Okay Humans,3333
394966,2181,Puff Genesis,2499
397465,2179,Neko Nation,3861
401326,2180,Kanpai Pandas Infinity,246
401572,2178,Banana Task Force Ape Genesis,4223
405795,2177,TAT-TWELVE ANONYMOUS TOURNAMENTS,5505
411300,1867,Elemento Dragons,1524
412824,2176,Bevvies,3145
415969,2174,Spirit Gates,3622
419591,2173,Kabana Club,2981
422572,2168,MadHeroes,200
422772,2169,Lucid,5555
428327,2166,Kitaro World,7777
433441,2166,KitaroWorld,7777
436104,2162,Legendary Dancing Seahorse,384
436488,2161,The Lockeys,3500
439988,2164,Tutti Frutiz,111
440099,2163,TURTLE UNITED GENESIS,500
440599,2144,CronosCruiser,8000
448599,2145,Kart Racing League Racers,2892
451491,2139,Mad Meerkat Burrow Poly,10301
461792,2135,Rare Rats,360
462152,2138,Anomura,1769
463921,2140,KUMALEON,1717
465638,2137,DottedBuddieswrld,5432
471070,2136,Sneakerbox,659
471729,2100,Shellz Orb,9000
480729,2129,Astrobot Society,4201
484930,2134,Akyllers,4444
489374,2131,ChronoCatzCC,3596
492970,2132,MetaShooter ,2651
495621,2133,Doge Skulls,4432
500053,2130,Awesome Possums,10000
510053,2128,Darbotz (DW3),600
510653,2105,LO: Legendary Owls,2000
512653,2125,Private Jet Pyjama Party Baby Owls,3726
516379,2126,456 Collectors Club,4560
520939,2127,Shibnobi,6000
526939,2124,My Lil Gnomie,5555
532494,2111,DegoVerse World Cup 2022,10000
542494,2123,Lil Mutant Ape Club,5428
547922,2120,Cosa Monstra Genesis,1322
549244,2119,grumpls,3828
553072,2118,Dollar Store Kids,3238
556310,2116,Kawakami,1114
557424,2104,BoredHuman NFT,1000
558424,2102,Rarity League - Bengals,561
558985,2114,Master Cats,9000
567985,2103,Rarity League - Rams,914
568899,2101,Minters World,2911
571810,2113,Todd James Art Party,1533
573343,2112,DeGods,10000
583343,2110,TheKodaz,3000
586343,2108,The Aristocrats Society,250
586593,2109,Tykes,4334
590927,2106,Pixxtasy,48
590975,2107,Isekai Meta,7777
598752,2096,Satoshiverse - The Apemo Army,3333
602085,2099,Kryptoria - Alpha Citizens,10000
612085,2098,Commoners by Commonopoly,6969
619054,2097,SteezyApeGang,4444
623498,2093,OnChain Buccaneers,888
624386,2095,MIRA Society,4000
628386,2094,Sabertoothed Tigers Club,1800
630186,2092,Dour Fits,10000
640186,2086,The Seekers,47895
688081,2091,Volted Dragons Sailors Club,9821
697902,2088,Command Z,1716
698691,2088,CommandZ,1716
699618,2035,Waterbomb League,3125
702743,2085,The Warriors of Ankh,1800
704543,2080,AlienAnimatedPunkz,2204
706747,2082,Deltanauts Alpha Gold,1000
707747,2083,Deltanauts Alpha Silver,56
707803,2084,Deltanauts Alpha Bronze,612
708415,2079,Legacy Shinsei,3000
711415,2078,Miner Moles,10000
721415,2033,Wilder Moto Genesis,6396
727811,2077,Tribe Odyssey,9404
737215,2076,wgmis,8888
746103,2040,Balloon Town,1097
747200,2043,MOON LIZZYS,9999
757199,2042,Rare Apepe YC,10000
767199,2041,SURFN Learn to Earn,2282
769481,2037,Gotcha Gatcha,998
770479,2039,Genuine Undead,9999
780478,2038,8liens,10001
790479,2032,Groovy Doodles,3616
794095,2036,BOSOTOKYO,3371
797466,2025,Argonauts,8888
806354,2034,Moodies by Hanuka,7401
813755,2031,Fever Dream Friends,1111
814866,2026,Nickelodeon: Rugrats & Hey Arnold!,14394
829260,2030,Krapopolis Krap Chickens,3463
832723,2023,PARTICIPANTS,3333
836056,2029,Digital Dogs Breeding Labs,1000
837056,2028,Martians vs Rednecks Weapons,2537
